generation,individual_idx,fitness,size,temperature_C,time_min,hmim_mM,zn_source_mM,ratio,stirring,counterion,solvent_name
8,43,-1.857877777777773,101.85787777777777,25.859621557611664,32.40048468805073,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,44,-14.986982539682558,114.98698253968256,29.24334046537509,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,45,-24.249880000000005,124.24988,26.383908692745585,21.954440144072443,0.08484989637740606,0.010650396661024438,0.12552044393374698,Yes,NO3-,Methanol
8,46,-106.96422222222225,206.96422222222225,25.868839026796543,21.954440144072443,0.08484989637740606,0.0024626867017628557,0.029024039001874644,Yes,SO42-,Methanol
8,47,-33.26851666666667,133.26851666666667,24.558616606835397,32.32760970678649,0.10674252300304875,0.001872237281972522,0.017539751069206484,No,NO3-,Methanol
8,48,-33.55348333333336,133.55348333333336,24.558616606835397,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Initial,NO3-,Methanol
8,49,-10.707433333333313,110.70743333333331,25.76426807532583,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
9,0,-0.013433333333324526,100.01343333333332,24.065974971950883,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,1,-1.857877777777773,101.85787777777777,25.76426807532583,28.734931984010096,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,2,-0.019900000000006912,99.9801,25.76426807532583,16.079990489503594,0.08068245976697976,0.001872237281972522,0.023205009953585442,Yes,NO3-,Methanol
9,3,-14.953649206349212,114.95364920634921,27.82338947873692,16.079990489503594,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,4,-7.47493333333334,107.47493333333334,25.76426807532583,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Ethanol
9,5,-108.89422222222223,208.89422222222223,26.383908692745585,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,SO42-,Methanol
9,6,-10.428266666666659,110.42826666666666,26.845042974523952,34.594456698292355,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Ethanol
9,7,-0.013433333333324526,100.01343333333332,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,8,-11.471877777777777,111.47187777777778,26.845042974523952,25.813287897046248,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
9,9,-128.06088888888888,228.06088888888888,25.76426807532583,22.66794473986983,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,CH3COO-,Methanol
9,10,-0.013433333333324526,100.01343333333332,25.76426807532583,22.66794473986983,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,11,-0.013433333333324526,100.01343333333332,25.76426807532583,23.08248958118254,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,12,-24.27961333333333,124.27961333333333,25.76426807532583,21.954440144072443,0.08484989637740606,0.011938012910224156,0.14069566870329173,Yes,NO3-,Methanol
9,13,-0.013433333333324526,100.01343333333332,24.2649926262606,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,14,-41.423274761904736,141.42327476190474,26.383908692745585,21.954440144072443,0.08484989637740606,0.010487912016475151,0.12360547819440693,Yes,NO3-,Ethanol
9,15,-27.540126666666666,127.54012666666667,26.383908692745585,34.594456698292355,0.08484989637740606,0.017788518698229686,0.2096469112832816,Yes,NO3-,Methanol
9,16,-0.013433333333324526,100.01343333333332,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,17,-29.108516666666674,129.10851666666667,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,No,NO3-,Methanol
9,18,-0.013433333333324526,100.01343333333332,26.839260708488,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,19,-128.06088888888888,228.06088888888888,25.76426807532583,22.66794473986983,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,CH3COO-,Methanol
9,20,-5.3829190476190405,105.38291904761904,25.76426807532583,23.08248958118254,0.03499958116715278,0.001872237281972522,0.05349313390440291,Yes,NO3-,Methanol
9,21,-4.051466666666656,95.94853333333334,25.76426807532583,21.954440144072443,0.08484989637740606,0.0021812236782680432,0.025706851409294854,Yes,NO3-,Methanol
9,22,-1.857877777777773,101.85787777777777,26.383908692745585,28.006615457915323,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,23,-7.37560000000002,107.37560000000002,25.155594166713783,16.079990489503594,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Ethanol
9,24,-7.47493333333334,107.47493333333334,24.691692127483705,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Ethanol
9,25,-0.013433333333324526,100.01343333333332,26.383908692745585,19.965829152993326,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
9,26,-114.69644444444444,214.69644444444444,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,ClO4-,Methanol
9,27,-114.69644444444444,214.69644444444444,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,ClO4-,Methanol
9,28,-113.22755555555557,213.22755555555557,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,SO42-,Methanol
9,29,-12.551877777777776,112.55187777777778,25.859621557611664,29.67888778693653,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
9,30,-14.986982539682558,114.98698253968256,28.470387288721323,22.66794473986983,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
